ID,requirements_text,CTL,Pattern
189,The product shall be able to delete room equipment.,AG(deleteRoomEquipmentRequest -> AF(roomEquipmentDeleted)),Pattern 6.1: Response - Globally
190,The product shall allow an organizer to invite other employees to meetings.,AG(organizerInvitesEmployees -> AF(employeesInvited)),Pattern 6.1: Response - Globally
191,Each time a conference room is reserved  the conference room schedule shall be updated to reflect the time and date of the reservation.,AG(conferenceRoomReserved -> AX(conferenceRoomScheduleUpdated)),Pattern 6.1: Response - Globally
192,The product shall record the transportation status of equipment reserved.,AG(equipmentReserved -> EX(transportationStatusRecorded)),Pattern 6.1: Response - Globally
193,The product shall display a map of the company building showing conference room locations.,AG(displayMap -> AF(conferenceRoomLocations)),Pattern 6.1: Response - Globally
194,The product shall record updated meeting agendas.,AG(updateAgenda -> AX(meetingAgendaUpdated)),Pattern 6.1: Response - Globally
195,The product shall send a meeting confirmation to the meeting organizer.,AG(createMeeting -> AX(meetingConfirmationSent)),Pattern 6.1: Response - Globally
196,The product shall display room equipment according to search parameters.,AG(searchParameters -> AF(displayRoomEquipment)),Pattern 6.1: Response - Globally
197,The product shall display conference rooms according to search parameters.,AG(searchParameters -> AF(displayConferenceRooms)),Pattern 6.1: Response - Globally
198,The product shall record different meeting types.,AG(recordMeeting -> AF(meetingTypeRecorded)),Pattern 6.1: Response - Globally
199,The product shall record all the equipment that has been reserved.,AG(equipmentReserved -> AF(recorded)),Pattern 6.1: Response - Globally
200,The product shall notify building personnel of equipment transport requests.,AG(equipmentTransportRequest -> AF(notifyBuildingPersonnel)),Pattern 6.1: Response - Globally
201,The product will allow priviledged users to view meeting schedules in multiple reporting views.,AG(privilegedUser -> AF(multipleReportingViews)),Pattern 6.1: Response - Globally
202,The product shall be able to send meeting notifications via different kinds of end-user specified methods.,AG(sendNotifications -> AF(notificationsSentViaDifferentMethods)),Pattern 6.1: Response - Globally
203,The product shall have a customizable Look and Feel.,AF(lookAndFeelCustomized),Pattern 2.1: Existence - Globally
204,The product shall have an intuitive user interface.,AF(intuitiveUI),Pattern 2.1: Existence - Globally
205,The product will display an available status for unreserved conference rooms.,AG(conferenceRoomUnreserved -> AF(displayAvailableStatus)),Pattern 6.1: Response - Globally
206,Recreation of Inventory Quantity Adjustment for the period of previous 30 days shall take no more than 30min.,AG(inventoryQuantityAdjustmentRecreationInProgress -> AF(timeSpentOnRecreation <= 30)),Pattern 6.1: Response - Globally
207,The System shall allow for a minimum of  6 users to work at the same time.,AG(numberOfActiveUsers >= 6),Pattern 4.1: Universality - Globally
208,The System shall maintain consistent security.  Any changes in user passwords and/or permissions should take affect in all parts of the System.,AG((changePassword | changePermissions) -> AF(consistentSecurity)),Pattern 6.1: Response - Globally
209,The System shall granularly control access rights to all major subsystems. It should be possible to assign access rights to all subsystems independently.,"AG(forall j: subsystem(j) -> AF(forall i: accessRightsAssigned(i, j)))",Pattern 6.1: Response - Globally
210,The System shall allow generation of Inventory Quantity Adjustment documents on demand.,AG(inventoryQuantityAdjustmentRequested -> AF(documentGenerated)),Pattern 6.1: Response - Globally
211,The System shall allow on demand generation of all Inventory Quantity Adjustment documents since certain point of time.,AG(inventoryQuantityAdjustmentRequested -> AF(documentGenerated)),Pattern 6.1: Response - Globally
212,The IQA subsystem shall take into account current inventory status and adjust inventory of substitutionary ingredients accordingly.,AG(currentInventoryStatus -> AF(inventoryAdjusted)),Pattern 6.1: Response - Globally
213,The System shall allow entering  storing and modifying product formulas.,AF(enterFormula) & AF(storeFormula) & AF(modifyFormula),Pattern 2.1: Existence - Globally
214,Product formulas shall allow use of semi-products  which have own formulas.,AG(productFormula -> AF(useSemiProduct)),Pattern 6.1: Response - Globally
215,Product formula ingredients shall allow defining substitutionary ingredients.,AG(productFormulaIngredient -> AF(defineSubstitutionaryIngredient)),Pattern 6.1: Response - Globally
216,Product formula substitutionary ingredients shall be entered automatically by the PFE subsystem.,AG(substitutionaryIngredient -> AF(enteredAutomaticallyByPFE)),Pattern 6.1: Response - Globally
217,Formula substitutionary ingredients shall be kept in persisted order,AG(persistedOrderKept),Pattern 4.1: Universality - Globally
218,Product shall allow entering storing and modifying product menus used by POS terminals.,AF(enterMenu) & AF(storeMenu) & AF(modifyMenu),Pattern 2.1: Existence - Globally
219,PME Subsystem shall allow building product menus based on the list of products kept in the accounting system.,AG(accountingSystemProducts -> AF(buildProductMenus)),Pattern 6.1: Response - Globally
220,PME Subsystem shall allow keeping submenus within menus and products within submenus in a managed and persisted order.,AG(PMESubsystemActive -> AF(managedAndPersistedOrder)),Pattern 6.1: Response - Globally
221,PME Subsystem shall allow for a product to exist in more than one submenu.,AG(PMESubsystemActive -> AG(productInMultipleSubmenus)),Pattern 4.3: Universality - After Q
222,The System shall generate Inventory Quantity Adjustment document based on product daily sales data and product formulas.,AG(productDailySalesData & productFormulas -> AF(inventoryQuantityAdjustment)),Pattern 6.1: Response - Globally
223,The System shall generate Inventory Quantity Adjustment document automatically when daily Product Sales data is available.,AG(productSalesDataAvailable -> AF(inventoryQuantityAdjustment)),Pattern 6.1: Response - Globally
224,Administrator shall be able to activate a pre-paid card via the Administration section in under 5 seconds.,AG(adminSectionAccessed -> AF(prePaidCardActivated)),Pattern 6.1: Response - Globally
225,Customer shall be able to check the status of their prepaid card by entering in the PIN number in under 5 seconds.,AG(pinEntered -> AF(prepaidCardStatusChecked)),Pattern 6.1: Response - Globally
226,"System shall let customers register on the website as a ""pay as you go"" user in under 5 minutes.",AG(customerRegistrationInitiated -> AF(payAsYouGoUserRegistered)),Pattern 6.1: Response - Globally
227,"System shall let customers register on the website as a ""unlimited movie subscriber"" user in under 10 minutes.",AG(customerRegistrationInitiated -> AF(unlimitedMovieSubscriberRegistered)),Pattern 6.1: Response - Globally
228,System shall let existing customers log into the website with their email address and password in under 5 seconds.,AG(customerLoginAttempt -> AF(customerLoggedIn)),Pattern 6.1: Response - Globally
229,System shall let customers cancel their account process shall take no longer than 2 minutes. Database will mark the account as inactive and user will not be able to log into the website.,AG(accountCancellationRequested -> (AF(accountMarkedInactive) & AG(accountMarkedInactive -> !EF(customerLoggedIn)))),Combination 6.1 and 4.1
230,System shall let administrator de-activate a customer account in under 1 minute. Customer will no longer be able to access the website.,AG(adminDeactivateAccountRequested -> (AF(customerAccountDeactivated) & AG(customerAccountDeactivated -> !EF(customerAccessesWebsite)))),Combination 6.1 and 4.1
231,System shall let administrator add/remove movies on the website in under 5 minutes.,AG(adminAddMovieRequested -> AF(movieAddedToWebsite)) & AG(adminRemoveMovieRequested -> AF(movieRemovedFromWebsite)),Pattern 6.1: Response - Globally
232,Entered movie information will be stored in the database and will now be available on the website.,AG(movieAddedToWebsite -> AF(movieInfoStoredInDatabase) & AF(movieAvailableOnWebsite)),Pattern 6.1: Response - Globally
233,System shall let the administrator add/remove categories on the website in under 5 minutes.,AG((adminAddCategory | adminRemoveCategory) -> AF(categoryUpdatedOnWebsite)),Pattern 6.1: Response - Globally
234,System shall let Izogn Manager access sales and usage statistics in under 2 minutes.,AG(IzognManagerRequestsStatistics -> AF(statisticsAccessed)),Pattern 6.1: Response - Globally
235,System shall let administrators generate unique pre-paid pins in under 2 minutes and generate an Excel file with the generated PINs.,AG(adminRequest -> AF(pinsGenerated & timeUnder2min)) & AG(pinsGenerated -> AF(excelCreated)),Pattern 6.1: Response - Globally
236,Any interface between a user and the automated system shall have a maximum response time of 5 seconds  unless noted by an exception below.,AG(userInteraction -> AF(systemResponse & responseWithinTime)),Pattern 6.1: Response - Globally
237,When purchasing a streaming movie or pre-paid card via credit card  the processing time should have a maximum response time of 15 seconds.,AG((moviePurchaseRequest | prePaidCardPurchaseRequest) -> AF(purchaseResponse & purchaseResponseWithinTime)),Pattern 6.1: Response - Globally
238,When streaming a movie  the buffering time should take no longer than 10 seconds (plus any latency on the user's connection.),AG(movieStreaming -> AF(buffered & bufferedWithinTime)),Pattern 6.1: Response - Globally
239,While streaming a movie  buffering should only occur if there is latency in the user's connection.,AG(streamingMovie -> (connectionLatency <-> AF(bufferingOccurs))),Pattern 6.1: Response - Globally
240,All credit card information will be secured on the server  and only accessible by authorized Izogn administrators.,AG(creditCardInfoSecured & (authorizedAdmin -> creditCardInfoAccessible)),Pattern 6.1: Response - Globally
241,The website shall be available for use 24 hours per day  365 days per year.,AG(websiteAvailable),Pattern 4.1: Universality - Globally
242,All movies shall be streamed on demand  at any time of the day.,AG(movieRequested -> AF(movieStreaming)),Pattern 6.1: Response - Globally
243,The website shall continue to operate if the streaming server goes down.,AG(streamingServerDown -> AG(websiteOperational)),Pattern 4.3: Universality - After Q
244,The website shall continue to operate if the payment gateway goes down.,AG(paymentGatewayDown -> AG(websiteOperational)),Pattern 4.3: Universality - After Q
245,The streaming server will support 50 simultaneous streaming connections.,AG(activeConnections <= 50),Pattern 4.1: Universality - Globally
246,The streaming server will support a maximum of 700 movies; new servers can be added to support more movies.,AG(movieCount <= 700),Pattern 4.1: Universality - Globally
247,The server will support a maximum of 1 000 simultaneous users.,AG(simultaneousUsers <= 1000),Pattern 4.1: Universality - Globally
248,The website shall be capable of supporting 100 000 customers.,AG(totalCustomers <= 100000),Pattern 4.1: Universality - Globally
249,Izogn Administrator must be able to update the category listings on the website within 2 minutes.,AG(updateRequest -> AF(updateCategory & timeElapsed <= 2)),Pattern 6.1: Response - Globally
250,Izogn Administrator must be able to add new products to the website within 2 minutes.,AG(addProductRequest -> AF(addProduct & timeElapsed <= 2)),Pattern 6.1: Response - Globally
